"id","county","year","month","maleInmates","gender.x","femaleInmates","gender.y","perc_f"
"1","Tarrant","2011","02",1554,"male",221,"female",0.124507042253521
"2","Tarrant","2011","03",1465,"male",215,"female",0.12797619047619
"3","Tarrant","2011","04",1435,"male",204,"female",0.124466137888957
"4","Tarrant","2011","05",1498,"male",195,"female",0.115180153573538
"5","Tarrant","2011","06",1527,"male",223,"female",0.127428571428571
"6","Tarrant","2011","07",1584,"male",235,"female",0.129191863661352
"7","Tarrant","2011","08",1568,"male",221,"female",0.123532699832309
"8","Tarrant","2011","09",1583,"male",244,"female",0.133552271483306
"9","Tarrant","2011","10",1569,"male",210,"female",0.118043844856661
"10","Tarrant","2011","11",1491,"male",206,"female",0.121390689451974
"11","Tarrant","2011","12",1461,"male",192,"female",0.116152450090744
"12","Tarrant","2012","01",1512,"male",199,"female",0.116306253652835
"13","Tarrant","2012","02",1566,"male",195,"female",0.110732538330494
"14","Tarrant","2012","03",1505,"male",207,"female",0.120911214953271
"15","Tarrant","2012","04",1486,"male",217,"female",0.127422196124486
"16","Tarrant","2012","05",1465,"male",221,"female",0.131079478054567
"17","Tarrant","2012","06",1467,"male",202,"female",0.121030557219892
"18","Tarrant","2012","07",1484,"male",190,"female",0.113500597371565
"19","Tarrant","2012","08",1457,"male",227,"female",0.13479809976247
"20","Tarrant","2012","09",1478,"male",219,"female",0.129051266941662
"21","Tarrant","2012","10",1512,"male",225,"female",0.129533678756477
"22","Tarrant","2012","11",1512,"male",225,"female",0.129533678756477
"23","Tarrant","2012","12",1486,"male",198,"female",0.117577197149644
"24","Tarrant","2013","01",1518,"male",191,"female",0.111761263897016
"25","Tarrant","2013","02",1572,"male",212,"female",0.118834080717489
"26","Tarrant","2013","03",1533,"male",210,"female",0.120481927710843
"27","Tarrant","2013","04",1565,"male",228,"female",0.127161182375906
"28","Tarrant","2013","05",1506,"male",232,"female",0.133486766398159
"29","Tarrant","2013","06",1506,"male",232,"female",0.133486766398159
"30","Tarrant","2013","07",1599,"male",260,"female",0.13986013986014
"31","Tarrant","2013","08",1658,"male",253,"female",0.132391418105704
"32","Tarrant","2013","09",1639,"male",238,"female",0.126798082045818
"33","Tarrant","2013","10",1566,"male",240,"female",0.132890365448505
"34","Tarrant","2013","11",1588,"male",274,"female",0.147153598281418
"35","Tarrant","2013","12",1588,"male",274,"female",0.147153598281418
"36","Tarrant","2014","01",1540,"male",204,"female",0.11697247706422
"37","Tarrant","2014","02",1610,"male",233,"female",0.126424308193163
"38","Tarrant","2014","03",1570,"male",253,"female",0.13878222709819
"39","Tarrant","2014","04",1540,"male",204,"female",0.11697247706422
"40","Tarrant","2014","05",1681,"male",297,"female",0.150151668351871
"41","Tarrant","2014","06",1756,"male",285,"female",0.139637432631063
"42","Tarrant","2014","07",1727,"male",253,"female",0.127777777777778
"43","Tarrant","2014","08",1751,"male",306,"female",0.148760330578512
"44","Tarrant","2014","09",1787,"male",298,"female",0.142925659472422
"45","Tarrant","2014","10",1778,"male",297,"female",0.143132530120482
"46","Tarrant","2014","11",1655,"male",261,"female",0.136221294363257
"47","Tarrant","2014","12",1607,"male",268,"female",0.142933333333333
"48","Tarrant","2015","01",1632,"male",266,"female",0.140147523709168
"49","Tarrant","2015","02",1630,"male",291,"female",0.151483602290474
"50","Tarrant","2015","03",1559,"male",300,"female",0.161377084454008
"51","Tarrant","2015","04",1623,"male",296,"female",0.154247003647733
"52","Tarrant","2015","05",1575,"male",323,"female",0.170179135932561
"53","Tarrant","2015","06",1495,"male",331,"female",0.181270536692223
"54","Tarrant","2015","07",1500,"male",308,"female",0.170353982300885
"55","Tarrant","2015","08",1518,"male",330,"female",0.178571428571429
"56","Tarrant","2015","09",1578,"male",305,"female",0.161975570897504
"57","Tarrant","2015","10",1618,"male",310,"female",0.160788381742739
"58","Tarrant","2015","11",1597,"male",290,"female",0.153683094859565
"59","Tarrant","2015","12",1512,"male",266,"female",0.149606299212598
"60","Tarrant","2016","01",1520,"male",283,"female",0.156960621186911
"61","Tarrant","2016","02",1524,"male",281,"female",0.155678670360111
"62","Tarrant","2016","03",1441,"male",309,"female",0.176571428571429
"63","Tarrant","2016","04",1482,"male",309,"female",0.172529313232831
"64","Tarrant","2016","05",1594,"male",319,"female",0.16675378985886
"65","Tarrant","2016","06",1613,"male",308,"female",0.160333159812598
"66","Tarrant","2016","07",1650,"male",314,"female",0.159877800407332
"67","Tarrant","2016","08",1613,"male",318,"female",0.16468151216986
"68","Tarrant","2016","09",1642,"male",321,"female",0.163525216505349
"69","Tarrant","2016","10",1659,"male",292,"female",0.149666837519221
"70","Tarrant","2016","11",1655,"male",279,"female",0.144260599793175
"71","Tarrant","2016","12",1722,"male",272,"female",0.136409227683049
